id,main,Q1,Q1A,Q1B,Q1C,Q1D,A1,Q2,Q2A,Q2B,Q2C,Q2D,A2,japanese
28,"Small acts of kindness can make a big difference. Holding the door for someone, saying thank you, or helping a classmate with homework may seem simple. However, these actions can brighten someone's day. Kindness also spreads. When people are treated kindly, they are more likely to be kind to others. Scientists have found that helping others makes the helper feel happier, too. We do not need money or special skills to be kind. All we need is to notice the people around us and care about them.",What is this passage about?,A. How to do homework.,B. Why doors are important.,C. The history of good manners.,D. The power of small acts of kindness.,D. The power of small acts of kindness.,What have scientists found about helping others?,A. It makes the helper feel happier.,B. It costs a lot of money.,C. It needs special skills.,D. It makes people tired.,A. It makes the helper feel happier.,小さな親切が大きな違いを生むことがあります。誰かのためにドアを押さえておくこと、「ありがとう」と言うこと、クラスメートの宿題を手伝うことは、簡単なことに思えるかもしれません。しかし、こうした行動は誰かの1日を明るくすることができます。親切はまた、広がっていくものです。親切にされた人は、他の人にも親切にしやすくなります。科学者たちは、他人を助けることで、助けた人自身もより幸せを感じることを発見しました。親切にするのに、お金や特別なスキルは必要ありません。必要なのは、周りの人々に気づき、気にかけることだけなのです。
29,"Museums are like time machines. When we walk through a museum, we can see tools used thousands of years ago, famous paintings, and even dinosaur bones. Seeing real objects helps us understand history and science better than just reading about them in textbooks. Many museums now have interactive displays where visitors can touch, listen, and try things for themselves. Some also offer free days for students. Visiting a museum is a fun way to learn, and each visit can spark new interests and questions.",What is this passage about?,A. How to build a time machine.,B. The value of visiting museums.,C. Why textbooks are boring.,D. The life of dinosaurs.,B. The value of visiting museums.,What do many museums now have?,A. Only old paintings.,B. No rooms for students.,C. Interactive displays.,D. Expensive tickets for everyone.,C. Interactive displays.,博物館はタイムマシンのようなものです。博物館の中を歩くと、何千年も前に使われていた道具や有名な絵画、さらには恐竜の骨まで見ることができます。本物を見ることは、教科書で読むだけよりも歴史や科学をよく理解する助けになります。現在では多くの博物館に、来館者が自分で触ったり、聞いたり、試したりできる体験型の展示があります。学生向けに無料の日を設けている博物館もあります。博物館を訪れることは楽しい学びの方法であり、訪れるたびに新しい興味や疑問が生まれるかもしれません。
30,"The ocean covers more than seventy percent of the Earth's surface, but we know surprisingly little about it. Most of the deep sea has never been explored by humans. It is dark and cold there, and the water pressure is extremely strong. Even so, scientists have found strange creatures living there, such as fish that make their own light. Special robots and submarines are now helping researchers study these areas. Some scientists believe there are still thousands of unknown species in the deep sea waiting to be discovered.",What is this passage about?,A. The mysteries of the deep sea.,B. How to catch fish.,C. Why the ocean is warm.,D. The history of submarines.,A. The mysteries of the deep sea.,What have scientists found in the deep sea?,A. Warm and bright water.,B. Many human cities.,C. Fish that make their own light.,D. No living things.,C. Fish that make their own light.,海は地球の表面の70パーセント以上を覆っていますが、私たちは海について驚くほど少ししか知りません。深海のほとんどは、人間によって探検されたことがありません。そこは暗くて冷たく、水圧は非常に強力です。それでも、科学者たちは、自分で光を出す魚など、そこに暮らす不思議な生き物を発見してきました。現在では、特別なロボットや潜水艇が、研究者たちがこうした場所を調べるのに役立っています。深海には、発見されるのを待っている未知の生物がまだ何千種もいると考える科学者もいます。
31,"Bicycles are a convenient and eco-friendly way to get around. Riding a bike does not produce any gas that pollutes the air, and it costs much less than using a car. It is also great exercise that makes our legs and heart stronger. In some countries, such as the Netherlands, there are more bicycles than people. Cities there have special roads only for bikes. When riding, however, we must follow traffic rules and wear a helmet. Safe cycling helps both people and the planet.",What is this passage about?,A. The benefits of riding bicycles.,B. How to drive a car.,C. The history of the Netherlands.,D. Why helmets are uncomfortable.,A. The benefits of riding bicycles.,What must we do when riding a bike?,A. Ride as fast as possible.,B. Ride on the sidewalk.,C. Carry heavy bags.,D. Follow traffic rules and wear a helmet.,D. Follow traffic rules and wear a helmet.,自転車は、便利で環境にやさしい移動手段です。自転車に乗っても、空気を汚すガスはまったく出ませんし、車を使うよりもずっとお金がかかりません。また、足や心臓を強くしてくれる、すばらしい運動にもなります。オランダのように、人口よりも自転車の数が多い国もあります。そこの都市には、自転車専用の道路があります。しかし、自転車に乗るときは、交通ルールを守り、ヘルメットをかぶらなければなりません。安全に自転車に乗ることは、人と地球の両方のためになるのです。
32,"Bees are small, but they play a big role in our lives. As they fly from flower to flower to collect nectar, they carry pollen. This helps plants produce fruits and seeds. In fact, about one-third of the food we eat depends on bees and other insects like them. Without bees, foods such as apples, strawberries, and almonds would become rare and expensive. Sadly, the number of bees is decreasing because of chemicals and the loss of flowers. Planting flowers in gardens is one way to help them.",What is this passage about?,A. How to make honey.,B. Why insects are dangerous.,C. The important role of bees.,D. The history of farming.,C. The important role of bees.,Why is the number of bees decreasing?,A. Because of chemicals and the loss of flowers.,B. Because people eat too many apples.,C. Because there are too many gardens.,D. Because bees do not like fruit.,A. Because of chemicals and the loss of flowers.,ミツバチは小さな生き物ですが、私たちの生活の中で大きな役割を果たしています。花の蜜を集めるために花から花へと飛び回るとき、ミツバチは花粉を運びます。これによって、植物は果物や種を作ることができます。実は、私たちが食べる食べ物の約3分の1は、ミツバチやそれに似た昆虫に頼っているのです。ミツバチがいなければ、リンゴ、イチゴ、アーモンドのような食べ物は珍しく、高価なものになってしまうでしょう。残念なことに、化学物質や花の減少のために、ミツバチの数は減ってきています。庭に花を植えることは、ミツバチを助けるひとつの方法です。
33,"Asking questions is one of the best ways to learn. Young children ask 'Why?' hundreds of times a day, and that is how they understand the world. As we grow older, however, many of us stop asking questions because we are afraid of looking foolish. This is a pity. Great discoveries often begin with a simple question, such as 'Why does an apple fall?' Teachers are usually happy when students ask questions. The next time you do not understand something, raise your hand and ask.",What is this passage about?,A. Why children are foolish.,B. The history of apples.,C. How teachers grade tests.,D. The importance of asking questions.,D. The importance of asking questions.,Why do many people stop asking questions as they grow older?,A. They know everything.,B. They are afraid of looking foolish.,C. Teachers do not allow it.,D. They are too busy.,B. They are afraid of looking foolish.,質問をすることは、学ぶための最良の方法のひとつです。幼い子どもは1日に何百回も「なぜ？」と尋ね、そうやって世界を理解していきます。しかし、成長するにつれて、多くの人はばかだと思われるのを恐れて、質問をしなくなってしまいます。これは残念なことです。偉大な発見は、「なぜリンゴは落ちるのだろう？」のような単純な疑問から始まることがよくあります。先生たちはたいてい、生徒が質問をすると喜びます。今度何かわからないことがあったら、手を挙げて質問してみましょう。
34,"Festivals are an important part of culture around the world. In Japan, summer festivals are famous for fireworks, dancing, and food stands. In other countries, people celebrate with colorful parades, music, and special meals. Many festivals have a long history and are connected to seasons, harvests, or religion. They bring people of all ages together and help communities stay close. Joining a local festival is also a good way to learn about the traditions of a place. Festivals keep old customs alive for future generations.",What is this passage about?,A. The role of festivals in culture.,B. How to make fireworks.,C. Why food stands are expensive.,D. The history of music.,A. The role of festivals in culture.,What is one good way to learn about the traditions of a place?,A. Reading about fireworks.,B. Staying at home.,C. Joining a local festival.,D. Eating special meals alone.,C. Joining a local festival.,祭りは、世界中の文化の重要な一部です。日本では、夏祭りは花火や踊り、屋台で有名です。ほかの国々では、人々は色とりどりのパレードや音楽、特別な料理でお祝いをします。多くの祭りには長い歴史があり、季節や収穫、宗教と結びついています。祭りはあらゆる年代の人々を集め、地域の人々の結びつきを保つ助けになります。地元の祭りに参加することは、その土地の伝統について学ぶ良い方法でもあります。祭りは、古い習慣を未来の世代のために守り続けているのです。
35,"In the age of email and text messages, handwritten letters have become rare. However, many people still feel special when they receive one. A handwritten letter shows that the writer spent time and effort thinking about the reader. The shape of the letters and the choice of paper also show the writer's personality. Unlike messages on a screen, letters can be kept in a box and read again many years later. Sending a thank-you card or a birthday letter by hand is a warm way to show you care.",What is this passage about?,A. How to send an email.,B. The special value of handwritten letters.,C. The history of paper.,D. Why text messages are fast.,B. The special value of handwritten letters.,What does a handwritten letter show?,A. The writer did not have a phone.,B. The writer was in a hurry.,C. The writer spent time and effort.,D. The writer likes computers.,C. The writer spent time and effort.,メールやメッセージアプリの時代において、手書きの手紙は珍しいものになりました。しかし、今でも多くの人が、手紙を受け取ると特別な気持ちになります。手書きの手紙は、書き手が読み手のことを考えて時間と労力をかけたことを示しています。文字の形や便せんの選び方にも、書き手の人柄が表れます。画面上のメッセージと違い、手紙は箱にしまっておき、何年も後に読み返すことができます。お礼のカードや誕生日の手紙を手書きで送ることは、相手を思う気持ちを伝える温かい方法なのです。
36,"Board games have been enjoyed for thousands of years. Games like chess and shogi require careful thinking and planning. Players must imagine what their opponent will do next. This helps train the brain and improve problem-solving skills. Board games are also a great way to spend time with family and friends. Unlike video games, which people often play alone, board games bring people face to face around a table. Winning is fun, but learning to lose politely is an important lesson, too.",What is this passage about?,A. Why video games are bad.,B. The history of chess.,C. The benefits of board games.,D. How to win every game.,C. The benefits of board games.,What must players imagine in games like chess and shogi?,A. What their opponent will do next.,B. How to cook dinner.,C. Where to buy the game.,D. How long the game will last.,A. What their opponent will do next.,ボードゲームは何千年もの間、楽しまれてきました。チェスや将棋のようなゲームには、注意深く考え、計画を立てることが求められます。プレーヤーは、相手が次に何をするかを想像しなければなりません。これは脳を鍛え、問題解決能力を高める助けになります。ボードゲームは、家族や友だちと時間を過ごすすばらしい方法でもあります。一人で遊ぶことが多いテレビゲームと違い、ボードゲームは人々をテーブルの周りで向かい合わせてくれます。勝つことは楽しいですが、礼儀正しく負けることを学ぶのも大切な教訓です。
37,"Taking photos is easier than ever because almost everyone has a camera on their phone. Photos help us save memories of trips, friends, and special days. But photography can be more than just pressing a button. Good photographers pay attention to light, angles, and the story behind each picture. Trying to take better photos teaches us to look closely at ordinary things, like a shadow on a wall or a cat sleeping in the sun. Sometimes, the most beautiful pictures are found in everyday life.",What is this passage about?,A. How to buy a camera.,B. The art of photography.,C. Why cats sleep in the sun.,D. The history of phones.,B. The art of photography.,"According to the passage, where are the most beautiful pictures sometimes found?",A. In expensive studios.,B. In faraway countries.,C. In famous museums.,D. In everyday life.,D. In everyday life.,ほとんど誰もがスマートフォンにカメラを持っているので、写真を撮ることはかつてないほど簡単になりました。写真は、旅行や友だち、特別な日の思い出を残す助けになります。しかし、写真はただシャッターを押すだけのものではありません。優れた写真家は、光や角度、そしてそれぞれの写真の背後にある物語に注意を払います。より良い写真を撮ろうとすると、壁に映る影や日なたで眠る猫のような、ありふれたものをよく見るようになります。最も美しい写真は、日常生活の中に見つかることもあるのです。
38,"Keeping your room clean has more benefits than you might think. A tidy room makes it easier to find things, so you do not waste time looking for your keys or homework. It can also help you focus when you study, because there are fewer things to distract you. Some people say that cleaning their room makes them feel refreshed and more positive. The trick is to clean a little every day instead of waiting until the mess becomes too big. Putting things back after using them is a good first step.",What is this passage about?,A. The benefits of keeping your room clean.,B. How to buy furniture.,C. Why homework is difficult.,D. The history of houses.,A. The benefits of keeping your room clean.,What is the trick to keeping a room clean?,A. Clean only once a year.,B. Move to a bigger room.,C. Clean a little every day.,D. Ask others to clean it.,C. Clean a little every day.,部屋をきれいに保つことには、あなたが思っている以上にたくさんの利点があります。整理された部屋では物が見つけやすいので、鍵や宿題を探して時間を無駄にすることがありません。また、気を散らすものが少なくなるので、勉強するときに集中しやすくなります。部屋を掃除するとすっきりして、前向きな気持ちになれると言う人もいます。こつは、散らかりがひどくなるまで待つのではなく、毎日少しずつ掃除することです。使った物を元の場所に戻すことが、良い第一歩になります。
39,"Older people have lived through many experiences, and their stories are a treasure. Grandparents can tell us what life was like when they were young, such as how they went to school or what games they played. These stories help us understand how much the world has changed. They also teach us lessons about hard times and how to overcome them. Unfortunately, many young people rarely talk with elderly people. Spending time listening to them can build a bridge between generations and give us wisdom that books cannot.",What is this passage about?,A. How schools have changed.,B. Why young people are busy.,C. The value of listening to older people.,D. The history of games.,C. The value of listening to older people.,What can older people's stories teach us?,A. How to play video games.,B. Lessons about hard times and how to overcome them.,C. How to write books.,D. Nothing useful.,B. Lessons about hard times and how to overcome them.,お年寄りはたくさんの経験をしてきており、その話は宝物です。祖父母は、どのように学校に通っていたか、どんな遊びをしていたかなど、若いころの生活がどのようなものだったかを話してくれます。こうした話は、世界がどれほど変わったかを理解する助けになります。また、苦しい時期のことや、それをどう乗り越えたかについての教訓も教えてくれます。残念ながら、多くの若者はお年寄りと話すことがめったにありません。彼らの話に耳を傾ける時間を持つことは、世代と世代の間に橋をかけ、本では得られない知恵を与えてくれるのです。
40,"Many people feel sad when it rains, but rainy days are important. Rain gives water to rivers, forests, and farms. Without it, plants could not grow and we would not have enough food or drinking water. Rainy days can also be enjoyable. The sound of rain is relaxing, and it is a perfect time to read a book, watch a movie, or try a new recipe at home. In Japan, the rainy season brings beautiful flowers like hydrangeas. Instead of complaining about the rain, we can find ways to enjoy it.",What is this passage about?,A. Why rain is dangerous.,B. How to make a movie.,C. The history of Japan.,D. The value and fun of rainy days.,D. The value and fun of rainy days.,Which flower does the passage mention?,A. Hydrangeas.,B. Roses.,C. Sunflowers.,D. Cherry blossoms.,A. Hydrangeas.,雨が降ると悲しい気持ちになる人は多いですが、雨の日は大切です。雨は川や森、農地に水を与えます。雨がなければ植物は育たず、私たちは十分な食べ物や飲み水を得ることができないでしょう。雨の日は楽しむこともできます。雨の音は心を落ち着かせてくれますし、家で本を読んだり、映画を観たり、新しいレシピに挑戦したりするのにぴったりの時間です。日本では、梅雨の季節にアジサイのような美しい花が咲きます。雨に文句を言うのではなく、雨を楽しむ方法を見つけることができるのです。
41,"Many students study for hours without a break, believing it is the best way to learn. However, research shows that our brain cannot stay focused for a long time. After about forty-five minutes, concentration usually starts to drop. Taking a short break of five to ten minutes can refresh the mind. During a break, it is good to stand up, stretch, or look out the window. Checking a smartphone, however, may make it harder to return to studying. Short, regular breaks help us learn more effectively.",What is this passage about?,A. Why students hate studying.,B. How to use a smartphone.,C. The importance of taking breaks while studying.,D. The history of schools.,C. The importance of taking breaks while studying.,What is a good thing to do during a break?,A. Check a smartphone for a long time.,B. Stand up and stretch.,C. Start a new subject.,D. Go to sleep for three hours.,B. Stand up and stretch.,多くの生徒は、それが最も良い学習方法だと信じて、休憩をとらずに何時間も勉強します。しかし、研究によると、私たちの脳は長い時間集中し続けることができません。およそ45分たつと、たいてい集中力は落ち始めます。5～10分の短い休憩をとると、頭をリフレッシュさせることができます。休憩中は、立ち上がったり、ストレッチをしたり、窓の外を眺めたりするのが良いでしょう。しかし、スマートフォンを見ると、勉強に戻りにくくなるかもしれません。短い休憩を定期的にとることで、より効率的に学ぶことができるのです。
